id,date,json_file
10431,1997-01-30,"{"id": 10431, "date": "1997-01-30"}"
10432,1997-01-31,"{"id": 10432, "date": "1997-01-31"}"
10433,1997-02-03,"{"id": 10433, "date": "1997-02-03"}"
10434,1997-02-03,"{"id": 10434, "date": "1997-02-03"}"
10435,1997-02-04,"{"id": 10435, "date": "1997-02-04"}"
10436,1997-02-05,"{"id": 10436, "date": "1997-02-05"}"
10437,1997-02-05,"{"id": 10437, "date": "1997-02-05"}"
10438,1997-02-06,"{"id": 10438, "date": "1997-02-06"}"
10439,1997-02-07,"{"id": 10439, "date": "1997-02-07"}"
10440,1997-02-10,"{"id": 10440, "date": "1997-02-10"}"
10441,1997-02-10,"{"id": 10441, "date": "1997-02-10"}"
10442,1997-02-11,"{"id": 10442, "date": "1997-02-11"}"
10443,1997-02-12,"{"id": 10443, "date": "1997-02-12"}"
