id,date,year,month,day
10314,1996-09-25,1996,9,25
10315,1996-09-26,1996,9,26
10316,1996-09-27,1996,9,27
10317,1996-09-30,1996,9,30
10318,1996-10-01,1996,10,1
10319,1996-10-02,1996,10,2
10320,1996-10-03,1996,10,3
10321,1996-10-03,1996,10,3
10322,1996-10-04,1996,10,4
10323,1996-10-07,1996,10,7
10324,1996-10-08,1996,10,8
10325,1996-10-09,1996,10,9
10326,1996-10-10,1996,10,10
10327,1996-10-11,1996,10,11
10328,1996-10-14,1996,10,14
10329,1996-10-15,1996,10,15
10330,1996-10-16,1996,10,16
10331,1996-10-16,1996,10,16
10332,1996-10-17,1996,10,17
10333,1996-10-18,1996,10,18
10334,1996-10-21,1996,10,21
10335,1996-10-22,1996,10,22
10336,1996-10-23,1996,10,23
10337,1996-10-24,1996,10,24
10338,1996-10-25,1996,10,25
10339,1996-10-28,1996,10,28
10340,1996-10-29,1996,10,29
10341,1996-10-29,1996,10,29
10342,1996-10-30,1996,10,30
10343,1996-10-31,1996,10,31
10344,1996-11-01,1996,11,1
10345,1996-11-04,1996,11,4
10346,1996-11-05,1996,11,5
10347,1996-11-06,1996,11,6
10348,1996-11-07,1996,11,7
10349,1996-11-08,1996,11,8
10350,1996-11-11,1996,11,11
10351,1996-11-11,1996,11,11
10352,1996-11-12,1996,11,12
10353,1996-11-13,1996,11,13
10354,1996-11-14,1996,11,14
10355,1996-11-15,1996,11,15
10356,1996-11-18,1996,11,18
10357,1996-11-19,1996,11,19
10358,1996-11-20,1996,11,20
10359,1996-11-21,1996,11,21
10360,1996-11-22,1996,11,22
10361,1996-11-22,1996,11,22
10362,1996-11-25,1996,11,25
10363,1996-11-26,1996,11,26
10364,1996-11-26,1996,11,26
10365,1996-11-27,1996,11,27
10366,1996-11-28,1996,11,28
10367,1996-11-28,1996,11,28
10368,1996-11-29,1996,11,29
10369,1996-12-02,1996,12,2
10370,1996-12-03,1996,12,3
10371,1996-12-03,1996,12,3
10372,1996-12-04,1996,12,4
10373,1996-12-05,1996,12,5
10374,1996-12-05,1996,12,5
10375,1996-12-06,1996,12,6
10376,1996-12-09,1996,12,9
10377,1996-12-09,1996,12,9
10378,1996-12-10,1996,12,10
10379,1996-12-11,1996,12,11
10380,1996-12-12,1996,12,12
10381,1996-12-12,1996,12,12
10382,1996-12-13,1996,12,13
10383,1996-12-16,1996,12,16
10384,1996-12-16,1996,12,16
10385,1996-12-17,1996,12,17
10386,1996-12-18,1996,12,18
10387,1996-12-18,1996,12,18
10388,1996-12-19,1996,12,19
10389,1996-12-20,1996,12,20
10390,1996-12-23,1996,12,23
10391,1996-12-23,1996,12,23
10392,1996-12-24,1996,12,24
10393,1996-12-25,1996,12,25
10394,1996-12-25,1996,12,25
10395,1996-12-26,1996,12,26
10396,1996-12-27,1996,12,27
10397,1996-12-27,1996,12,27
10398,1996-12-30,1996,12,30
10399,1996-12-31,1996,12,31
10400,1997-01-01,1997,1,1
10401,1997-01-01,1997,1,1
10402,1997-01-02,1997,1,2
10403,1997-01-03,1997,1,3
10404,1997-01-03,1997,1,3
10405,1997-01-06,1997,1,6
10406,1997-01-07,1997,1,7
10407,1997-01-07,1997,1,7
10408,1997-01-08,1997,1,8
10409,1997-01-09,1997,1,9
10410,1997-01-10,1997,1,10
10411,1997-01-10,1997,1,10
10412,1997-01-13,1997,1,13
10413,1997-01-14,1997,1,14
10414,1997-01-14,1997,1,14
10415,1997-01-15,1997,1,15
10416,1997-01-16,1997,1,16
10417,1997-01-16,1997,1,16
10418,1997-01-17,1997,1,17
10419,1997-01-20,1997,1,20
10420,1997-01-21,1997,1,21
10421,1997-01-21,1997,1,21
10422,1997-01-22,1997,1,22
10423,1997-01-23,1997,1,23
10424,1997-01-23,1997,1,23
10425,1997-01-24,1997,1,24
10426,1997-01-27,1997,1,27
10427,1997-01-27,1997,1,27
10428,1997-01-28,1997,1,28
10429,1997-01-29,1997,1,29
10430,1997-01-30,1997,1,30
10431,1997-01-30,1997,1,30
10432,1997-01-31,1997,1,31
10433,1997-02-03,1997,2,3
10434,1997-02-03,1997,2,3
10435,1997-02-04,1997,2,4
10436,1997-02-05,1997,2,5
10437,1997-02-05,1997,2,5
10438,1997-02-06,1997,2,6
10439,1997-02-07,1997,2,7
10440,1997-02-10,1997,2,10
10441,1997-02-10,1997,2,10
10442,1997-02-11,1997,2,11
10443,1997-02-12,1997,2,12
