id,date,date_plus_one_day
10388,1996-12-19,1996-12-20
10389,1996-12-20,1996-12-21
10390,1996-12-23,1996-12-24
10391,1996-12-23,1996-12-24
10392,1996-12-24,1996-12-25
10393,1996-12-25,1996-12-26
10394,1996-12-25,1996-12-26
10395,1996-12-26,1996-12-27
10396,1996-12-27,1996-12-28
10397,1996-12-27,1996-12-28
10398,1996-12-30,1996-12-31
10399,1996-12-31,1997-01-01
10400,1997-01-01,1997-01-02
10401,1997-01-01,1997-01-02
10402,1997-01-02,1997-01-03
10403,1997-01-03,1997-01-04
10404,1997-01-03,1997-01-04
10405,1997-01-06,1997-01-07
10406,1997-01-07,1997-01-08
10407,1997-01-07,1997-01-08
10408,1997-01-08,1997-01-09
10409,1997-01-09,1997-01-10
10410,1997-01-10,1997-01-11
10411,1997-01-10,1997-01-11
10412,1997-01-13,1997-01-14
10413,1997-01-14,1997-01-15
10414,1997-01-14,1997-01-15
10415,1997-01-15,1997-01-16
10416,1997-01-16,1997-01-17
10417,1997-01-16,1997-01-17
10418,1997-01-17,1997-01-18
10419,1997-01-20,1997-01-21
10420,1997-01-21,1997-01-22
10421,1997-01-21,1997-01-22
10422,1997-01-22,1997-01-23
10423,1997-01-23,1997-01-24
10424,1997-01-23,1997-01-24
10425,1997-01-24,1997-01-25
10426,1997-01-27,1997-01-28
10427,1997-01-27,1997-01-28
10428,1997-01-28,1997-01-29
10429,1997-01-29,1997-01-30
10430,1997-01-30,1997-01-31
10431,1997-01-30,1997-01-31
10432,1997-01-31,1997-02-01
10433,1997-02-03,1997-02-04
10434,1997-02-03,1997-02-04
10435,1997-02-04,1997-02-05
10436,1997-02-05,1997-02-06
10437,1997-02-05,1997-02-06
10438,1997-02-06,1997-02-07
10439,1997-02-07,1997-02-08
10440,1997-02-10,1997-02-11
10441,1997-02-10,1997-02-11
10442,1997-02-11,1997-02-12
10443,1997-02-12,1997-02-13
